# source_api_id	status	crystal_refs	notes
teatest.go::func::NewTestModel	missing	-	baseline
teatest.go::func::RequireEqualOutput	missing	-	baseline
teatest.go::func::WaitFor	missing	-	baseline
teatest.go::func::WithCheckInterval	missing	-	baseline
teatest.go::func::WithDuration	missing	-	baseline
teatest.go::func::WithFinalTimeout	missing	-	baseline
teatest.go::func::WithInitialTermSize	missing	-	baseline
teatest.go::func::WithTimeoutFn	missing	-	baseline
teatest.go::method::TestModel.FinalModel	missing	-	baseline
teatest.go::method::TestModel.FinalOutput	missing	-	baseline
teatest.go::method::TestModel.GetProgram	missing	-	baseline
teatest.go::method::TestModel.Output	missing	-	baseline
teatest.go::method::TestModel.Quit	missing	-	baseline
teatest.go::method::TestModel.Send	missing	-	baseline
teatest.go::method::TestModel.Type	missing	-	baseline
teatest.go::method::TestModel.WaitFinished	missing	-	baseline
teatest.go::method::safeReadWriter.Read	missing	-	baseline
teatest.go::method::safeReadWriter.Write	missing	-	baseline
teatest.go::struct::FinalOpts	missing	-	baseline
teatest.go::struct::TestModel	missing	-	baseline
teatest.go::struct::TestModelOptions	missing	-	baseline
teatest.go::struct::WaitingForContext	missing	-	baseline
teatest.go::type::FinalOpt	missing	-	baseline
teatest.go::type::Program	missing	-	baseline
teatest.go::type::TestOption	missing	-	baseline
teatest.go::type::WaitForOption	missing	-	baseline
v2/teatest.go::func::NewTestModel	missing	-	baseline
v2/teatest.go::func::RequireEqualOutput	missing	-	baseline
v2/teatest.go::func::WaitFor	missing	-	baseline
v2/teatest.go::func::WithCheckInterval	missing	-	baseline
v2/teatest.go::func::WithDuration	missing	-	baseline
v2/teatest.go::func::WithFinalTimeout	missing	-	baseline
v2/teatest.go::func::WithInitialTermSize	missing	-	baseline
v2/teatest.go::func::WithProgramOptions	missing	-	baseline
v2/teatest.go::func::WithTimeoutFn	missing	-	baseline
v2/teatest.go::method::TestModel.FinalModel	missing	-	baseline
v2/teatest.go::method::TestModel.FinalOutput	missing	-	baseline
v2/teatest.go::method::TestModel.GetProgram	missing	-	baseline
v2/teatest.go::method::TestModel.Output	missing	-	baseline
v2/teatest.go::method::TestModel.Quit	missing	-	baseline
v2/teatest.go::method::TestModel.Send	missing	-	baseline
v2/teatest.go::method::TestModel.Type	missing	-	baseline
v2/teatest.go::method::TestModel.WaitFinished	missing	-	baseline
v2/teatest.go::method::safeReadWriter.Read	missing	-	baseline
v2/teatest.go::method::safeReadWriter.Write	missing	-	baseline
v2/teatest.go::struct::FinalOpts	missing	-	baseline
v2/teatest.go::struct::TestModel	missing	-	baseline
v2/teatest.go::struct::TestModelOptions	missing	-	baseline
v2/teatest.go::struct::WaitingForContext	missing	-	baseline
v2/teatest.go::type::FinalOpt	missing	-	baseline
v2/teatest.go::type::Program	missing	-	baseline
v2/teatest.go::type::TestOption	missing	-	baseline
v2/teatest.go::type::WaitForOption	missing	-	baseline
